title, summary, source, date
More signs point to terrorist links to train gunman, The gunman in Friday's thwarted attack of a high-speed train bound for Paris flew to Istanbul from Berlin on May 10 following a path that has been used hundreds of times by Islamist militants seeking to join the Islamic State group., http://www.theage.com.au/world/more-signs-point-to-terrorist-links-to-train-gunman-20150824-gj6blj.html, 2015-08-24
Big 400m personal best for Anneliese Rubie, Anneliese Rubie has become the first Australian woman since Cathy Freeman in 1999 to qualify for the 400m semis at the world athletics championships., http://news.theage.com.au/breaking-news-sport/big-400m-personal-best-for-anneliese-rubie-20150824-41k70.html, 2015-08-24
Ginger snaps: hundreds gather to celebrate all things red-haired, Hundreds of redheads have gathered in Ireland to celebrate their flamed locks and everything to do with them., http://www.theage.com.au/world/ginger-snaps-hundreds-gather-to-celebrate-all-things-redhaired-20150824-gj6d3m.html, 2015-08-24
Britain and Iran take diplomatic approach as embassies reopen, The re-establishment of a British diplomatic presence in Tehran is another milestone in the Islamic republic's cautiously improving ties with the West., http://www.theage.com.au/world/britain-and-iran-take-diplomatic-approach-as-embassies-reopen-20150824-gj68pv.html, 2015-08-24
Groth advances in Winston-Salem, Australia's Sam Groth is through to the next round of the Winston Salem Open after a hard-fought win over wildcard Jared Donaldson., http://news.theage.com.au/breaking-news-sport/groth-advances-in-winstonsalem-20150824-41k3e.html, 2015-08-24
Ko wins Canadian Pacific Open title, New Zealand golfer Lydia Ko has won the Canadian Pacific Open title for the third time getting past American Stacy Lewis on the first play-off hole., http://news.theage.com.au/breaking-news-sport/ko-wins-canadian-pacific-open-title-20150824-41jsi.html, 2015-08-24
Cook not worried about dead rubber loss, England skipper Alastair Cook isn't too worried about the innings and 46-run loss in the fifth Ashes Test acknowledging his side failed to get up for it., http://news.theage.com.au/breaking-news-sport/cook-not-worried-about-dead-rubber-loss-20150824-41jjh.html, 2015-08-24
Japan protests Russian PM Dmitry Medvedev visit to disputed island, Japan on Saturday lodged a protest over Russian Prime Minister Dmitry Medvedev's visit to one of four disputed Pacific islands which have strained ties between the two countries since the end of World War Two., http://www.theage.com.au/world/japan-protests-russian-pm-dmitry-medvedev-visit-to-disputed-island-20150824-gj61ye.html, 2015-08-24
Hayne lights up NFL pre-season again, Jarryd Hayne has impressed in his second pre-season game with the San Francisco 49ers., http://news.theage.com.au/breaking-news-sport/hayne-lights-up-nfl-preseason-again-20150824-41jgy.html, 2015-08-24
Wilson in coma after IndyCar race crash, English driver Justin Wilson is in a coma after crashing during the Indycar race in Pocono Pennsylvania., http://news.theage.com.au/breaking-news-sport/wilson-in-coma-after-indycar-race-crash-20150824-41jdp.html, 2015-08-24
North South Korea hold marathon talks in bid to end stand-off, Top aides to the leaders of North and South Korea negotiated overnight and into Monday morning in a marathon bid to try to ease tensions involving an exchange of artillery fire that has brought the peninsula to the brink of armed conflict., http://www.theage.com.au/world/north-south-korea-hold-marathon-talks-in-bid-to-end-standoff-20150824-gj612t.html, 2015-08-24
Test retirement hasn't sunk in: Clarke, Outgoing Australia captain Michael Clarke now accepts it is the right time to retire but says the end of his cricket career hasn't sunk in., http://news.theage.com.au/breaking-news-sport/test-retirement-hasnt-sunk-in-clarke-20150824-41jbe.html, 2015-08-23
Barcelona win but Real falter, The Spanish League is up and running with Real falling behind champions Barcelona in the opening weekend., http://news.theage.com.au/breaking-news-sport/barcelona-win-but-real-falter-20150824-41ja9.html, 2015-08-23
